Samples	plate	timepoint	genotypeID	chamber	microbiome	well	size.pixels	size.mm2	Fo	Fm	Fv	Fp	Fm_L1	Fm_L2	Fm_L3	Fm_L4	Fm_Lss	Fm_D1	Fm_D2	Fm_D3	Ft_L1	Ft_L2	Ft_L3	Ft_L4	Ft_Lss	Ft_D1	Ft_D2	Ft_D3	Fo_L1	Fo_L2	Fo_L3	Fo_L4	Fo_Lss	Fo_D1	Fo_D2	Fo_D3	Fv_L1	Fv_L2	Fv_L3	Fv_L4	Fv_Lss	Fv_D1	Fv_D2	Fv_D3	Fq_L1	Fq_L2	Fq_L3	Fq_L4	Fq_Lss	Fq_D1	Fq_D2	Fq_D3	QY_max	Fv/Fm_L1	Fv/Fm_L2	Fv/Fm_L3	Fv/Fm_L4	Fv/Fm_Lss	Fv/Fm_D1	Fv/Fm_D2	Fv/Fm_D3	QY_L1	QY_L2	QY_L3	QY_L4	QY_Lss	QY_D1	QY_D2	QY_D3	NPQ_L1	NPQ_L2	NPQ_L3	NPQ_L4	NPQ_Lss	NPQ_D1	NPQ_D2	NPQ_D3	qN_L1	qN_L2	qN_L3	qN_L4	qN_Lss	qN_D1	qN_D2	qN_D3	qP_L1	qP_L2	qP_L3	qP_L4	qP_Lss	qP_D1	qP_D2	qP_D3	qL_L1	qL_L2	qL_L3	qL_L4	qL_Lss	qL_D1	qL_D2	qL_D3	Rfd_L1	Rfd_L2	Rfd_L3	Rfd_L4	Rfd_Lss
empty.0C.0M	P73	initial	empty	0	0	12																																																																																																				
empty.0C.0M	P73	week3	empty	0	0	12																																																																																																				
empty.0C.9M	P74	initial	empty	0	9	12																																																																																																				
empty.0C.9M	P74	week3	empty	0	9	12																																																																																																				
empty.0C.ControlM	P75	initial	empty	0	Control	12																																																																																																				
empty.0C.ControlM	P75	week3	empty	0	Control	12																																																																																																				
empty.9C.0M	P76	initial	empty	9	0	12																																																																																																				
empty.9C.0M	P76	week3	empty	9	0	12																																																																																																				
empty.9C.9M	P77	initial	empty	9	9	12																																																																																																				
empty.9C.9M	P77	week3	empty	9	9	12																																																																																																				
empty.9C.ControlM	P78	initial	empty	9	Control	12																																																																																																				
empty.9C.ControlM	P78	week3	empty	9	Control	12																																																																																																				
MNSA59.0C.0M	P37	initial	MNSA59	0	0	10	773	118.47	37.33	102.95	65.62	107.7	68.95	59.53	57.08	53.54	52.35	81.66	89.04	90.83	71.85	61.08	57.38	53.92	51.34	37.96	39.05	38.4	31.66	29.52	28.9	27.97	27.64	34.1	35.32	35.6	37.29	30.01	28.18	25.57	24.71	47.56	53.72	55.23	-2.9	-1.55	-0.29	-0.38	1.01	43.7	49.99	52.43	0.64	0.54	0.5	0.49	0.48	0.47	0.58	0.6	0.61	-0.04	-0.03	-0.01	-0.01	0.02	0.54	0.56	0.58	0.49	0.73	0.8	0.92	0.97	0.26	0.16	0.13	0.48	0.59	0.62	0.66	0.67	0.31	0.21	0.18	-0.08	-0.05	-0.01	-0.01	0.04	0.92	0.93	0.95	-0.18	-0.11	-0.02	-0.03	0.08	1.02	1.03	1.02	0.5	0.76	0.88	1	1.1
MNSA59.0C.0M	P37	week3	MNSA59	0	0	10	558	85.52	62.69	145.73	83.04	143.88	68.09	56.74	55.51	57.54	55.34	106.71	122.25	125.45	71.07	57.54	54.49	55.36	54.29	45.84	48.23	48.33	42.06	37.43	36.9	37.78	36.82	54.17	57.91	58.62	26.03	19.31	18.62	19.76	18.52	52.54	64.34	66.84	-2.98	-0.8	1.02	2.18	1.06	60.88	74.01	77.12	0.57	0.38	0.34	0.34	0.34	0.33	0.49	0.53	0.53	-0.04	-0.01	0.02	0.04	0.02	0.57	0.61	0.61	1.14	1.57	1.63	1.53	1.63	0.37	0.19	0.16	0.75	0.82	0.83	0.82	0.83	0.43	0.27	0.23	-0.11	-0.04	0.05	0.11	0.06	1.16	1.15	1.15	-0.19	-0.06	0.08	0.16	0.08	0.98	0.96	0.95	1.02	1.5	1.64	1.6	1.65
